Date,Open,High,Low,Close,Volume
1531872001,0.000069,0.000070,0.000069,0.000069,7084.634333
1531873801,0.000069,0.000070,0.000069,0.000069,7609.161707
1531875601,0.000069,0.000069,0.000069,0.000069,7644.803553
1531877401,0.000069,0.000070,0.000069,0.000069,10561.872553
1531879201,0.000070,0.000070,0.000069,0.000069,6826.207199
1531881001,0.000069,0.000070,0.000069,0.000070,10225.397305
1531882801,0.000070,0.000070,0.000069,0.000069,10989.441827
1531884601,0.000069,0.000069,0.000069,0.000069,18732.605229
1531886401,0.000069,0.000069,0.000069,0.000069,22086.023021
1531888201,0.000069,0.000069,0.000069,0.000069,10790.387474
1531890001,0.000069,0.000069,0.000069,0.000069,15454.481038
1531891801,0.000069,0.000069,0.000069,0.000069,13477.233066
1531893601,0.000069,0.000069,0.000069,0.000069,7216.432846
1531895401,0.000069,0.000069,0.000069,0.000069,10382.212225
1531897201,0.000069,0.000070,0.000069,0.000069,19930.663505
1531899001,0.000069,0.000069,0.000069,0.000069,9680.695679
1531900801,0.000069,0.000070,0.000069,0.000069,12799.001372
1531902601,0.000069,0.000069,0.000069,0.000069,8111.593219
1531904401,0.000069,0.000069,0.000069,0.000069,9642.131718
1531906201,0.000069,0.000069,0.000069,0.000069,8783.803215
1531908001,0.000069,0.000069,0.000069,0.000069,8440.064463
1531909801,0.000069,0.000070,0.000069,0.000069,10019.192309
1531911601,0.000069,0.000069,0.000069,0.000069,8547.495969
1531913401,0.000069,0.000069,0.000069,0.000069,8729.737945
1531915201,0.000069,0.000069,0.000069,0.000069,8196.459180
1531917001,0.000069,0.000069,0.000069,0.000069,7189.900852
1531918801,0.000069,0.000069,0.000069,0.000069,1876.368309
1531920601,0.000069,0.000069,0.000069,0.000069,1214.662526
1531922401,0.000069,0.000069,0.000069,0.000069,1149.366617
1531924201,0.000069,0.000069,0.000069,0.000069,5697.840761
1531926001,0.000069,0.000069,0.000069,0.000069,9540.572983
1531927801,0.000069,0.000069,0.000069,0.000069,7170.161017
1531929601,0.000069,0.000069,0.000069,0.000069,10452.034993
1531931401,0.000069,0.000069,0.000069,0.000069,8441.776063
1531933201,0.000069,0.000069,0.000069,0.000069,9149.081611
1531935001,0.000069,0.000069,0.000069,0.000069,10352.690071
1531936801,0.000069,0.000069,0.000068,0.000069,8882.756048
1531938601,0.000068,0.000069,0.000068,0.000069,3342.773225
1531940401,0.000069,0.000069,0.000065,0.000067,38564.499137
1531942201,0.000067,0.000067,0.000066,0.000067,11088.471340
1531944001,0.000066,0.000067,0.000066,0.000067,15243.861620
1531945801,0.000066,0.000066,0.000066,0.000066,9435.280569
1531947601,0.000066,0.000067,0.000066,0.000067,8501.403764
1531949401,0.000067,0.000067,0.000066,0.000066,7255.792852
1531951201,0.000066,0.000066,0.000066,0.000066,11482.586097
1531953001,0.000066,0.000066,0.000065,0.000066,10595.011913
1531954801,0.000066,0.000066,0.000066,0.000066,7981.242870
1531956601,0.000066,0.000066,0.000066,0.000066,7287.300000
