Date,Open,High,Low,Close,Volume
1531339201,0.002561,0.002581,0.002541,0.002580,168.903013
1531353601,0.002575,0.002578,0.002529,0.002554,190.845307
1531368001,0.002547,0.002585,0.002528,0.002572,323.304141
1531382401,0.002577,0.002598,0.002550,0.002579,396.491352
1531396801,0.002577,0.002598,0.002573,0.002585,259.881449
1531411201,0.002597,0.002615,0.002573,0.002573,338.854538
1531425601,0.002599,0.002617,0.002572,0.002611,424.184811
1531440001,0.002607,0.002675,0.002607,0.002662,540.283476
1531454401,0.002660,0.002666,0.002629,0.002633,402.079304
1531468801,0.002632,0.002656,0.002609,0.002655,973.089592
1531483201,0.002650,0.002662,0.002619,0.002647,245.732644
1531497601,0.002644,0.002666,0.002613,0.002638,899.427777
1531512001,0.002649,0.002724,0.002592,0.002613,1419.771159
1531526401,0.002615,0.002635,0.002602,0.002610,191.067908
1531540801,0.002610,0.002612,0.002586,0.002594,234.715078
1531555201,0.002602,0.002620,0.002586,0.002610,307.072721
1531569601,0.002607,0.002613,0.002591,0.002598,308.465152
1531584001,0.002592,0.002607,0.002588,0.002602,274.064711
1531598401,0.002595,0.002650,0.002595,0.002626,404.516638
1531612801,0.002620,0.002627,0.002602,0.002611,341.984154
1531627201,0.002616,0.002635,0.002601,0.002601,413.505808
1531641601,0.002600,0.002641,0.002600,0.002623,594.741818
1531656001,0.002626,0.002647,0.002599,0.002635,371.638384
1531670401,0.002629,0.002639,0.002600,0.002621,325.560289
1531684801,0.002614,0.002636,0.002611,0.002618,260.458090
1531699201,0.002620,0.002620,0.002607,0.002609,186.293828
1531713601,0.002611,0.002622,0.002602,0.002622,312.536957
1531728001,0.002614,0.002628,0.002597,0.002598,817.965664
1531742401,0.002611,0.002620,0.002584,0.002605,640.965117
1531756801,0.002604,0.002615,0.002587,0.002593,418.221957
1531771201,0.002600,0.002612,0.002576,0.002585,429.099503
1531785601,0.002582,0.002586,0.002562,0.002570,535.076556
1531800001,0.002577,0.002577,0.002531,0.002557,487.758360
1531814401,0.002555,0.002573,0.002533,0.002547,1419.262908
1531828801,0.002541,0.002554,0.002519,0.002532,309.831988
1531843201,0.002537,0.002537,0.002425,0.002447,2304.383618
1531857601,0.002448,0.002458,0.002433,0.002447,713.060493
1531872001,0.002446,0.002474,0.002407,0.002414,312.766417
1531886401,0.002419,0.002426,0.002399,0.002412,542.441532
1531900801,0.002399,0.002422,0.002396,0.002399,961.032408
1531915201,0.002405,0.002412,0.002367,0.002380,1000.800482
1531929601,0.002373,0.002421,0.002360,0.002362,621.040324
1531944001,0.002360,0.002379,0.002350,0.002353,488.282398
