Date,Open,High,Low,Close,Volume
1531872001,0.012117,0.012161,0.012096,0.012145,36.552917
1531873801,0.012143,0.012162,0.012118,0.012138,32.752838
1531875601,0.012123,0.012160,0.012107,0.012129,38.230005
1531877401,0.012133,0.012208,0.012133,0.012172,39.965119
1531879201,0.012191,0.012265,0.012172,0.012238,41.272854
1531881001,0.012265,0.012590,0.012265,0.012576,389.566118
1531882801,0.012521,0.012590,0.012323,0.012323,106.157213
1531884601,0.012340,0.012340,0.012201,0.012274,42.483838
1531886401,0.012273,0.012285,0.012226,0.012245,41.800440
1531888201,0.012276,0.012351,0.012249,0.012317,113.680670
1531890001,0.012334,0.012351,0.012282,0.012300,70.322093
1531891801,0.012300,0.012300,0.012201,0.012201,34.483796
1531893601,0.012201,0.012251,0.012201,0.012210,42.673065
1531895401,0.012216,0.012250,0.012201,0.012249,42.049692
1531897201,0.012201,0.012265,0.012184,0.012184,35.136744
1531899001,0.012184,0.012251,0.012171,0.012203,32.371631
1531900801,0.012214,0.012250,0.012156,0.012205,34.601932
1531902601,0.012216,0.012348,0.012195,0.012336,44.739296
1531904401,0.012254,0.012286,0.012241,0.012241,45.842717
1531906201,0.012261,0.012317,0.012233,0.012317,30.968376
1531908001,0.012276,0.012291,0.012244,0.012290,40.942193
1531909801,0.012241,0.012313,0.012212,0.012259,49.528466
1531911601,0.012212,0.012284,0.012212,0.012269,39.915110
1531913401,0.012266,0.012271,0.012212,0.012238,36.489958
1531915201,0.012230,0.012273,0.012201,0.012273,46.833586
1531917001,0.012210,0.012313,0.012187,0.012259,71.295455
1531918801,0.012312,0.012312,0.012241,0.012307,2.560636
1531920601,0.012179,0.012265,0.012156,0.012156,4.626250
1531922401,0.012204,0.012248,0.012133,0.012160,15.541421
1531924201,0.012125,0.012222,0.012094,0.012162,33.289850
1531926001,0.012146,0.012180,0.012115,0.012163,34.961033
1531927801,0.012128,0.012197,0.012122,0.012163,42.952196
1531929601,0.012139,0.012180,0.012094,0.012180,43.505434
1531931401,0.012170,0.012180,0.012122,0.012164,40.311747
1531933201,0.012135,0.012176,0.012072,0.012072,39.248811
1531935001,0.012124,0.012200,0.012075,0.012134,83.126332
1531936801,0.012172,0.012172,0.012073,0.012074,24.062632
1531938601,0.012115,0.012180,0.012088,0.012180,8.859271
1531940401,0.012082,0.012082,0.011951,0.011951,22.237940
1531942201,0.011976,0.012039,0.011903,0.011963,45.212433
1531944001,0.011910,0.011934,0.011839,0.011839,78.657970
1531945801,0.011917,0.011998,0.011854,0.011966,59.546155
1531947601,0.011961,0.012025,0.011920,0.011920,40.276301
1531949401,0.011920,0.011933,0.011900,0.011918,37.986024
1531951201,0.011915,0.011926,0.011701,0.011701,45.794262
1531953001,0.011701,0.011802,0.011689,0.011729,91.302963
1531954801,0.011746,0.011788,0.011706,0.011760,49.740180
1531956601,0.011745,0.011745,0.011685,0.011715,32.768410
