Date,Open,High,Low,Close,Volume
1531339201,0.012162,0.012240,0.012030,0.012239,296.503423
1531353601,0.012222,0.012257,0.012115,0.012174,312.335635
1531368001,0.012160,0.012218,0.012029,0.012102,329.532910
1531382401,0.012136,0.012259,0.012109,0.012233,306.484970
1531396801,0.012197,0.012369,0.012197,0.012332,343.257778
1531411201,0.012354,0.012379,0.012241,0.012258,262.789093
1531425601,0.012270,0.012304,0.012190,0.012262,228.570332
1531440001,0.012291,0.012435,0.012285,0.012366,299.972860
1531454401,0.012417,0.012429,0.012296,0.012330,261.088275
1531468801,0.012374,0.012374,0.012241,0.012346,289.681746
1531483201,0.012340,0.012435,0.012310,0.012384,521.025714
1531497601,0.012370,0.012416,0.012224,0.012273,644.810202
1531512001,0.012290,0.012340,0.012204,0.012315,254.249801
1531526401,0.012331,0.012350,0.012244,0.012318,306.378428
1531540801,0.012295,0.012338,0.012200,0.012221,292.245203
1531555201,0.012264,0.012307,0.012198,0.012225,293.574333
1531569601,0.012203,0.012244,0.012135,0.012193,291.188344
1531584001,0.012201,0.012265,0.012157,0.012236,249.973377
1531598401,0.012223,0.012252,0.012158,0.012186,258.222649
1531612801,0.012178,0.012279,0.012100,0.012262,324.362185
1531627201,0.012267,0.012279,0.012200,0.012215,278.918288
1531641601,0.012209,0.012265,0.012169,0.012234,108.841256
1531656001,0.012225,0.012237,0.012100,0.012221,10.898752
1531670401,0.012222,0.012300,0.012143,0.012259,55.276751
1531684801,0.012300,0.012425,0.012300,0.012347,214.262930
1531699201,0.012348,0.012404,0.012241,0.012279,294.734272
1531713601,0.012295,0.012351,0.012224,0.012309,292.652841
1531728001,0.012332,0.012566,0.012241,0.012509,195.898627
1531742401,0.012441,0.012567,0.012356,0.012482,326.754992
1531756801,0.012499,0.012567,0.012373,0.012424,1251.192443
1531771201,0.012439,0.012492,0.012385,0.012466,305.983176
1531785601,0.012420,0.012493,0.012394,0.012448,334.331757
1531800001,0.012448,0.012494,0.012322,0.012362,400.017898
1531814401,0.012381,0.012394,0.012241,0.012241,329.644286
1531828801,0.012241,0.012346,0.012212,0.012317,332.517109
1531843201,0.012280,0.012314,0.011946,0.012095,586.635408
1531857601,0.012095,0.012180,0.012075,0.012136,470.577595
1531872001,0.012117,0.012590,0.012096,0.012274,726.980902
1531886401,0.012273,0.012351,0.012171,0.012203,412.518132
1531900801,0.012214,0.012348,0.012156,0.012238,323.028049
1531915201,0.012230,0.012313,0.012094,0.012163,252.060427
1531929601,0.012139,0.012200,0.011903,0.011963,306.564600
1531944001,0.011910,0.012025,0.011689,0.011786,366.143774
