Date,Open,High,Low,Close,Volume
1531872001,0.067834,0.068319,0.067834,0.068057,74.028030
1531873801,0.068190,0.068454,0.068111,0.068277,58.558036
1531875601,0.068269,0.068343,0.068032,0.068239,72.798065
1531877401,0.068142,0.068343,0.068069,0.068096,57.277877
1531879201,0.068253,0.068264,0.067939,0.068007,68.709928
1531881001,0.068277,0.068562,0.067876,0.068457,75.088548
1531882801,0.068282,0.068483,0.067551,0.067551,58.767081
1531884601,0.067571,0.067806,0.067394,0.067660,86.441554
1531886401,0.067566,0.067724,0.067389,0.067432,72.959571
1531888201,0.067615,0.067697,0.067480,0.067538,63.684922
1531890001,0.067514,0.067677,0.067260,0.067381,87.606086
1531891801,0.067597,0.067597,0.067204,0.067367,51.980894
1531893601,0.067231,0.067507,0.067231,0.067300,60.339030
1531895401,0.067350,0.067439,0.067159,0.067168,63.624610
1531897201,0.067159,0.067471,0.067159,0.067437,66.664164
1531899001,0.067329,0.068001,0.067159,0.067548,127.126838
1531900801,0.067585,0.067982,0.067401,0.067777,61.090428
1531902601,0.067611,0.067741,0.067182,0.067528,58.439855
1531904401,0.067300,0.067511,0.067160,0.067320,79.925330
1531906201,0.067170,0.067383,0.067000,0.067214,57.458875
1531908001,0.067116,0.067236,0.066929,0.066933,68.391831
1531909801,0.066966,0.067238,0.066924,0.066981,86.478525
1531911601,0.066981,0.067273,0.066873,0.067088,89.942226
1531913401,0.067024,0.067024,0.066700,0.066896,88.199991
1531915201,0.067028,0.067028,0.066301,0.066317,80.148972
1531917001,0.066604,0.066824,0.066443,0.066700,63.817916
1531918801,0.066511,0.066856,0.066511,0.066526,5.545031
1531920601,0.066500,0.066698,0.066071,0.066377,9.215032
1531922401,0.066058,0.066415,0.065806,0.065988,8.098400
1531924201,0.066321,0.066591,0.065991,0.066128,45.839153
1531926001,0.066339,0.066405,0.066129,0.066390,64.586317
1531927801,0.066150,0.066390,0.066138,0.066340,77.350218
1531929601,0.066311,0.066552,0.066311,0.066313,75.035077
1531931401,0.066496,0.066542,0.066048,0.066167,61.064169
1531933201,0.066229,0.066271,0.066014,0.066014,59.809984
1531935001,0.066014,0.066359,0.065784,0.065976,74.155226
1531936801,0.066000,0.066134,0.065679,0.065908,27.662094
1531938601,0.065961,0.066113,0.065610,0.066113,5.798314
1531940401,0.066000,0.066195,0.065550,0.065765,27.636859
1531942201,0.065765,0.065765,0.065480,0.065663,80.455486
1531944001,0.065629,0.065629,0.065000,0.065160,80.865745
1531945801,0.065090,0.065149,0.064615,0.064750,80.101683
1531947601,0.064655,0.064853,0.064545,0.064768,70.219096
1531949401,0.064628,0.064982,0.064590,0.064981,72.589596
1531951201,0.064849,0.065079,0.064849,0.064900,59.259586
1531953001,0.064920,0.065174,0.064901,0.065144,76.669507
1531954801,0.065107,0.065210,0.064906,0.065008,69.218600
1531956601,0.065001,0.065094,0.064801,0.065023,62.501564
