Date,Open,High,Low,Close,Volume
1531339201,0.068688,0.069819,0.068543,0.069811,515.306714
1531353601,0.069872,0.069872,0.069062,0.069429,504.160985
1531368001,0.069489,0.070000,0.069137,0.070000,523.016929
1531382401,0.070000,0.070132,0.069400,0.069701,500.144396
1531396801,0.069459,0.069953,0.069200,0.069600,562.139364
1531411201,0.069502,0.070080,0.069304,0.069310,456.067592
1531425601,0.069450,0.069450,0.068632,0.068862,439.558846
1531440001,0.068806,0.069929,0.068806,0.069717,464.832975
1531454401,0.069727,0.069905,0.069435,0.069700,459.900267
1531468801,0.069618,0.069985,0.069547,0.069600,568.191761
1531483201,0.069745,0.070304,0.069400,0.069856,571.887857
1531497601,0.069702,0.069929,0.069300,0.069468,470.611018
1531512001,0.069374,0.069994,0.069300,0.069301,455.176368
1531526401,0.069332,0.069680,0.069250,0.069430,541.376305
1531540801,0.069317,0.069574,0.069250,0.069251,490.845509
1531555201,0.069316,0.069500,0.069005,0.069052,563.740129
1531569601,0.069172,0.069798,0.069080,0.069554,517.436286
1531584001,0.069607,0.069900,0.069315,0.069315,450.616655
1531598401,0.069315,0.069579,0.069171,0.069228,489.732249
1531612801,0.069299,0.069685,0.069063,0.069193,519.030523
1531627201,0.069403,0.069665,0.068880,0.069371,523.665803
1531641601,0.069214,0.070387,0.069201,0.070326,158.352220
1531656001,0.070012,0.070666,0.069790,0.070666,61.991106
1531670401,0.070666,0.071000,0.070104,0.070615,37.260711
1531684801,0.070615,0.070953,0.070303,0.070744,377.442168
1531699201,0.070707,0.070777,0.070034,0.070188,546.898059
1531713601,0.070158,0.071350,0.069820,0.070783,519.877575
1531728001,0.070938,0.071590,0.070681,0.071250,266.542778
1531742401,0.071139,0.071803,0.071017,0.071077,528.645545
1531756801,0.071125,0.071717,0.070772,0.071309,641.670856
1531771201,0.071333,0.071450,0.070817,0.071060,583.861013
1531785601,0.070998,0.071240,0.070150,0.070920,707.409028
1531800001,0.070839,0.071306,0.070133,0.070552,558.706181
1531814401,0.070500,0.070715,0.069547,0.069700,680.352443
1531828801,0.069593,0.069983,0.069400,0.069622,468.747990
1531843201,0.069805,0.069864,0.067520,0.068104,746.353368
1531857601,0.068071,0.068479,0.067791,0.067834,562.921638
1531872001,0.067834,0.068562,0.067394,0.067660,551.669118
1531886401,0.067566,0.068001,0.067159,0.067548,593.986114
1531900801,0.067585,0.067982,0.066700,0.066896,589.927062
1531915201,0.067028,0.067028,0.065806,0.066340,354.601039
1531929601,0.066311,0.066552,0.065480,0.065663,411.617209
1531944001,0.065629,0.065629,0.064545,0.064901,526.264221
