Date,Open,High,Low,Close,Volume
1529280001,0.028828,0.030022,0.028145,0.029263,742.465243
1529366401,0.029269,0.029379,0.028987,0.029379,638.076592
1529452801,0.029214,0.030495,0.028525,0.028704,691.749129
1529539201,0.028609,0.029036,0.028250,0.028331,577.304422
1529625601,0.028385,0.028495,0.027000,0.027593,683.191601
1529712001,0.027612,0.031000,0.027027,0.027599,937.052438
1529798401,0.027599,0.027712,0.026406,0.026932,721.269197
1529884801,0.027023,0.028637,0.026500,0.028231,656.677040
1529971201,0.028252,0.028309,0.026470,0.026470,614.109776
1530057601,0.026470,0.027421,0.026031,0.027397,556.099561
1530144001,0.027424,0.027424,0.026031,0.026122,546.753695
1530230401,0.026178,0.026612,0.025827,0.026223,527.987443
1530316801,0.026213,0.027420,0.026000,0.026691,624.111159
1530403201,0.026639,0.027133,0.026466,0.026798,485.049153
1530489601,0.026618,0.028267,0.026191,0.027793,503.693067
1530576001,0.027793,0.029552,0.027407,0.027437,389.089463
1530662401,0.027524,0.027986,0.027041,0.027503,653.237024
1530748801,0.027536,0.027899,0.026580,0.026730,556.736697
1530835201,0.026777,0.027199,0.025550,0.026497,641.096468
1530921601,0.026503,0.026675,0.025600,0.025791,575.269427
1531008001,0.025968,0.026217,0.025647,0.025964,539.380567
1531094401,0.025877,0.025969,0.025013,0.025093,567.930772
1531180801,0.025059,0.025400,0.024262,0.025358,567.641479
1531267201,0.025299,0.025500,0.024500,0.024729,546.690856
1531353601,0.024764,0.024859,0.024398,0.024632,587.998522
1531440001,0.024603,0.030443,0.024592,0.028185,1261.831470
1531526401,0.028166,0.028588,0.027000,0.027703,789.889423
1531612801,0.027641,0.027900,0.027333,0.027562,404.354090
1531699201,0.027468,0.028168,0.026000,0.028053,989.577993
1531785601,0.028082,0.028759,0.026500,0.028588,986.026544
1531872001,0.028468,0.030100,0.027496,0.028360,1017.848781
